F-volt,Object,Type
4.868035191,Green Sponge,S
4.877810362,Green Sponge,S
4.872922776,Green Sponge,S
4.872922776,Green Sponge,S
4.872922776,Green Sponge,S
4.868035191,Green Sponge,S
4.868035191,Green Sponge,S
4.882697947,Green Sponge,S
4.877810362,Green Sponge,S
4.877810362,Green Sponge,S
4.877810362,Green Sponge,S
4.872922776,Green Sponge,S
4.877810362,Green Sponge,S
3.553274682,wood,H
4.095796676,wood,H
4.623655914,wood,H
3.563049853,wood,H
3.592375367,wood,H
3.875855327,wood,H
3.685239492,wood,H
3.914956012,wood,H
3.973607038,wood,H
3.968719453,wood,H
3.968719453,wood,H
3.978494624,wood,H
3.988269795,wood,H
4.002932551,wood,H
4.002932551,wood,H
3.99315738,wood,H
3.998044966,wood,H
3.99315738,wood,H
4.002932551,wood,H
4.012707722,wood,H
4.017595308,wood,H
4.017595308,wood,H
4.007820137,wood,H
4.032258065,wood,H
4.032258065,wood,H
4.03714565,wood,H
4.032258065,wood,H
4.032258065,wood,H
4.022482893,wood,H
4.042033236,wood,H
4.042033236,wood,H
4.022482893,wood,H
4.051808407,wood,H
4.03714565,wood,H
4.051808407,wood,H
4.046920821,wood,H
4.071358749,wood,H
4.002932551,wood,H
4.066471163,wood,H
4.03714565,wood,H
4.066471163,wood,H
4.061583578,wood,H
4.08113392,wood,H
4.061583578,wood,H
4.066471163,wood,H
4.066471163,wood,H
4.066471163,wood,H
4.061583578,wood,H
4.071358749,wood,H
4.076246334,wood,H
4.086021505,wood,H
4.090909091,wood,H
4.095796676,wood,H
4.090909091,wood,H
4.100684262,wood,H
4.100684262,wood,H
4.100684262,wood,H
4.105571848,wood,H
4.105571848,wood,H
4.105571848,wood,H
4.105571848,wood,H
4.115347019,wood,H
4.115347019,wood,H
4.12512219,wood,H
4.120234604,wood,H
4.130009775,wood,H
4.12512219,wood,H
4.134897361,wood,H
4.130009775,wood,H
4.130009775,wood,H
4.12512219,wood,H
4.130009775,wood,H
4.130009775,wood,H
4.134897361,wood,H
4.134897361,wood,H
4.139784946,wood,H
4.134897361,wood,H
4.144672532,wood,H
4.149560117,wood,H
4.144672532,wood,H
4.149560117,wood,H
4.149560117,wood,H
4.154447703,wood,H
4.154447703,wood,H
4.149560117,wood,H
4.154447703,wood,H
4.154447703,wood,H
4.149560117,wood,H
4.154447703,wood,H
4.159335288,wood,H
4.154447703,wood,H
4.164222874,wood,H
4.159335288,wood,H
4.173998045,wood,H
4.173998045,wood,H
4.169110459,wood,H
4.173998045,wood,H
4.173998045,wood,H
4.17888563,wood,H
4.173998045,wood,H
4.183773216,wood,H
4.17888563,wood,H
4.183773216,wood,H
4.17888563,wood,H
4.183773216,wood,H
4.183773216,wood,H
4.188660802,wood,H
4.183773216,wood,H
4.17888563,wood,H
4.188660802,wood,H
4.173998045,wood,H
4.188660802,wood,H
4.164222874,wood,H
4.183773216,wood,H
4.173998045,wood,H
4.183773216,wood,H
4.169110459,wood,H
4.183773216,wood,H
4.183773216,wood,H
4.193548387,wood,H
4.173998045,wood,H
4.188660802,wood,H
4.188660802,wood,H
4.188660802,wood,H
4.188660802,wood,H
4.183773216,wood,H
4.193548387,wood,H
4.188660802,wood,H
4.193548387,wood,H
4.188660802,wood,H
4.188660802,wood,H
4.193548387,wood,H
4.208211144,wood,H
4.198435973,wood,H
4.203323558,wood,H
4.198435973,wood,H
4.203323558,wood,H
4.198435973,wood,H
4.188660802,wood,H
4.198435973,wood,H
4.203323558,wood,H
4.208211144,wood,H
4.198435973,wood,H
4.203323558,wood,H
4.208211144,wood,H
4.208211144,wood,H
4.213098729,wood,H
4.208211144,wood,H
4.208211144,wood,H
4.173998045,wood,H
4.208211144,wood,H
4.203323558,wood,H
4.173998045,wood,H
4.208211144,wood,H
4.213098729,wood,H
4.164222874,wood,H
4.208211144,wood,H
4.213098729,wood,H
4.208211144,wood,H
4.217986315,wood,H
4.188660802,wood,H
4.213098729,wood,H
4.198435973,wood,H
4.208211144,wood,H
4.213098729,wood,H
4.198435973,wood,H
4.217986315,wood,H
4.203323558,wood,H
4.208211144,wood,H
4.217986315,wood,H
4.208211144,wood,H
4.2228739,wood,H
4.213098729,wood,H
4.2228739,wood,H
4.2228739,wood,H
4.213098729,wood,H
4.217986315,wood,H
4.2228739,wood,H
4.2228739,wood,H
4.2228739,wood,H
4.227761486,wood,H
4.217986315,wood,H
4.2228739,wood,H
4.227761486,wood,H
4.227761486,wood,H
4.2228739,wood,H
4.2228739,wood,H
4.2228739,wood,H
4.232649071,wood,H
4.232649071,wood,H
4.2228739,wood,H
4.237536657,wood,H
4.232649071,wood,H
4.237536657,wood,H
4.237536657,wood,H
4.227761486,wood,H
4.247311828,wood,H
4.257086999,wood,H
4.261974585,wood,H
4.26686217,wood,H
4.26686217,wood,H
4.261974585,wood,H
4.261974585,wood,H
4.271749756,wood,H
4.26686217,wood,H
4.26686217,wood,H
4.271749756,wood,H
4.271749756,wood,H
4.276637341,wood,H
4.276637341,wood,H
4.26686217,wood,H
4.276637341,wood,H
4.276637341,wood,H
4.276637341,wood,H
4.286412512,wood,H
4.286412512,wood,H
4.291300098,wood,H
4.296187683,wood,H
4.286412512,wood,H
4.291300098,wood,H
4.281524927,wood,H
4.286412512,wood,H
4.291300098,wood,H
4.296187683,wood,H
4.291300098,wood,H
4.296187683,wood,H
4.315738025,wood,H
